id;start_date;end_date;language
1;2021-02-03T05:02:34;2021-02-03T02:52:49;SPANISH
2;2021-02-02T09:52:45;2021-02-03T04:57:10;SPANISH
3;2021-02-03T00:48:04;2021-02-02T11:22:13;FRENCH
4;2021-02-02T16:05:35;2021-02-03T03:37:01;FRENCH
5;2021-02-03T01:35:53;2021-02-03T06:22:52;FRENCH
6;2021-02-02T19:28:14;2021-02-03T07:36:28;FRENCH
7;2021-02-02T21:13:34;2021-02-02T15:04:25;FRENCH
8;2021-02-02T20:09:47;2021-02-03T06:25:55;SPANISH
9;2021-02-02T18:50:56;2021-02-02T15:32:19;SPANISH
10;2021-02-03T03:03:00;2021-02-02T13:37:30;SPANISH
